Id	sexo	vista	IND	Centroid Size	Log Centroid Size
f/1	m	d	m/31	17.48549420052232	2.8613602655273978
f/10	f	d	f/10	15.440566340363716	2.7369735198009195
f/11	f	d	f/11	22.108871654745386	3.0959602826438215
f/12	f	d	f/12	20.41525324599428	3.0162621363587676
f/13	f	d	f/13	22.084093503188726	3.0948287453363412
f/14	f	d	f/14	17.546471841421248	2.864784875429524
f/15	f	d	f/15	16.691911162458055	2.814827760379922
f/16	f	d	f/16	19.221790439331983	2.9559994421663007
f/17	f	d	f/17	18.84044283958254	2.935939876974854
f/18	f	d	f/18	19.523253318362702	2.9712447255860983
f/19	f	d	f/19	17.941938115967737	2.8868328081705066
f/2	f	d	f/2	20.20476625426588	3.0058928603068162
f/20	f	d	f/20	19.864076050201543	2.9887237715207866
f/21	f	d	f/21	17.636138503049672	2.8696222829046576
f/22	f	d	f/22	17.886283329109787	2.8836544615878172
f/23	f	d	f/23	19.474774959427435	2.9686747698743883
f/24	f	d	f/24	20.551171546040962	3.0223710388653
f/25	f	d	f/25	20.915374578105784	3.040199088488445
f/26	f	d	f/26	17.847607728196596	2.8816218106563483
f/27	f	d	f/27	16.68361332581997	2.814425289648976
f/28	f	d	f/28	21.90755660741098	3.086503758081197
f/29	f	d	f/29	18.365497006143222	2.9100580087533006
f/3	f	d	f/3	16.51856561361318	2.8044582883476754
f/30	f	d	f/30	17.683888724614427	2.8723345331186296
f/4	f	d	f/4	21.89281640860268	3.086130654088916
f/5	f	d	f/5	20.484094095964	3.0196024476911383
f/6	f	d	f/6	20.77594705744447	3.0337732469411636
f/7	f	d	f/7	20.325007071670964	3.0118312480133254
f/8	f	d	f/8	17.790773601628516	2.878679641876107
f/9	f	d	f/9	21.96650324852658	3.089517049463431
m/1	m	d	m/1	18.446999735140423	2.9148831608557635
m/10	m	d	m/10	16.642806000504454	2.8119724733256737
m/11	m	d	m/11	17.531173573897526	2.8639757046385212
m/13	m	d	m/13	18.262298957172707	2.904838654350465
m/16	m	d	m/16	17.304730172189444	2.8508149469390345
m/17	m	d	m/17	18.289121508449412	2.9061092070121184
m/18	m	d	m/18	17.180389667980876	2.843767564124212
m/19	m	d	m/19	26.6678875709786	3.216372290408588
m/2	m	d	m/2	18.300255701730347	2.9069080328151586
m/20	m	d	m/20	18.90368936481173	2.939087939374461
m/21	m	d	m/21	17.242309556386147	2.846547891223487
m/22	m	d	m/22	16.01058910534283	2.772914122497196
m/23	m	d	m/23	16.783871068714802	2.820226933340005
m/24	m	d	m/24	19.303349557331572	2.9595889001551288
m/25	m	d	m/25	15.924966902627762	2.7674048874353447
m/26	m	d	m/26	17.485319914756342	2.860997969094133
m/27	m	d	m/27	16.248658019646882	2.787696688096805
m/28	m	d	m/28	17.381083625563036	2.8550221948880408
m/29	m	d	m/29	20.63507059647131	3.026489209169945
m/3	m	d	m/3	18.777736032958504	2.9326399515478263
m/30	m	d	m/30	18.113524545360917	2.896343113127454
m/4	m	d	m/4	18.12495121286514	2.8972503889132124
m/5	m	d	m/5	16.00552954241121	2.772902778717661
m/6	m	d	m/6	17.3565502151274	2.8539624340583396
m/7	m	d	m/7	17.883448857605238	2.8838184474625317
m/8	m	d	m/8	18.89971772901223	2.939137386158005
m/9	m	d	m/9	17.467274465654246	2.8603157873692995
