"exemplar";"direita";"esquerda";"sexo";"Cpmm";"maturacao";"leva"
"PMF2";30;32;"F";45,7;3;1
"PMF3";24;22;"F";36;2;1
"PMF4";34;30;"F";48,2;4;1
"PMF5";30;30;"F";44,7;4;1
"PMF6";32;36;"F";50,1;4;1
"PMF7";34;34;"F";45,2;4;1
"PMF8";28;28;"F";41;3;1
"PMF9";30;34;"F";50,5;4;1
"PMF10";18;22;"F";34,6;NA;1
"PMF11";34;32;"F";48,4;3;1
"PMF12";30;32;"F";43,9;3;1
"PMF13";28;30;"F";51,5;2;1
"PMF14";26;26;"F";37,8;1;1
"PMF15";18;24;"F";36;2;1
"PMF16";28;30;"F";44,15;4;2
"PMF17";30;26;"F";40,96;3;2
"PMF18";26;28;"F";42,99;3;2
"PMF19";26;26;"F";41,5;3;2
"PMF20";30;28;"F";43,76;4;2
"PMF21";22;26;"F";38,88;3;2
"PMF22";26;28;"F";39,1;3;2
"PMF23";26;28;"F";42,9;4;2
"PMF24";30;30;"F";43,91;4;2
"PMF25";28;30;"F";45,87;3;2
"PMF26";28;28;"F";39,86;3;2
"PMF27";30;26;"F";35,41;1;2
"PMF28";24;24;"F";48,57;3;2
"PMF29";22;26;"F";41,71;2;2
"PMF30";24;22;"F";37,08;2;2
"PMF31";26;28;"F";47,22;5;3
"PMF32";26;28;"F";44,57;3;3
"PMF33";28;26;"F";47,26;4;3
"PMF34";30;32;"F";46,31;4;3
"PMF35";24;26;"F";46,65;4;3
"PMF36";26;26;"F";43,74;3;3
"PMF37";24;28;"F";46,53;3;3
"PMF38";28;28;"F";46,1;4;3
"PMF39";26;26;"F";44,7;4;3
"PMF40";28;28;"F";45,22;3;3
"PMF41";28;30;"F";44,84;3;3
"PMF42";24;26;"F";42,47;3;3
"PMF43";26;26;"F";44,17;3;3
"PMF44";24;28;"F";46,7;4;3
"PMF45";24;28;"F";41,21;2;3
"PMM1";42;44;"M";41,7;3;1
"PMM2";44;40;"M";41,4;3;1
"PMM3";44;48;"M";42,2;3;1
"PMM4";40;38;"M";41,3;3;1
"PMM5";38;38;"M";34,8;2;1
"PMM6";42;36;"M";36,8;4;1
"PMM7";44;44;"M";40,5;4;1
"PMM8";44;42;"M";41,9;2;1
"PMM9";40;NA;"M";38,2;3;1
"PMM10";38;36;"M";36,6;3;1
"PMM11";40;38;"M";38,8;2;1
"PMM12";32;28;"M";35,1;1;1
"PMM13";38;40;"M";41,7;3;1
"PMM14";22;NA;"M";30,4;1;1
"PMM15";24;22;"M";34,1;1;1
"PMM16";34;36;"M";37,55;3;2
"PMM17";36;36;"M";39,57;3;2
"PMM18";38;38;"M";40,09;4;2
"PMM19";34;34;"M";39,3;3;2
"PMM20";38;36;"M";42,39;4;2
"PMM21";34;34;"M";37,82;3;2
"PMM22";34;36;"M";38,77;3;2
"PMM23";30;30;"M";36,74;2;2
"PMM24";46;44;"M";41,83;4;2
"PMM25";30;30;"M";36,29;2;2
"PMM26";30;30;"M";37,17;2;2
"PMM27";32;32;"M";34,5;4;2
"PMM28";34;34;"M";38,23;NA;2
"PMM29";28;28;"M";35,29;NA;2
"PMM30";40;38;"M";40,1;4;2
"PMM31";36;38;"M";38,2;2;1
"PMM32";30;26;"M";35,41;1;3
"PMM33";38;36;"M";42,43;3;3
"PMM34";36;38;"M";42,06;4;3
"PMM35";40;44;"M";43,69;4;3
"PMM36";34;34;"M";41,73;2;3
"PMM37";36;38;"M";39,24;3;3
"PMM38";46;46;"M";41,83;4;3
"PMM39";38;40;"M";40,47;3;3
"PMM40";42;42;"M";40,32;4;3
"PMM41";44;44;"M";44,17;3;3
"PMM42";40;40;"M";42,11;4;3
"PMM43";48;50;"M";41,41;5;3
"PMM44";46;46;"M";40,58;3;3
"PMM45";42;44;"M";42,07;3;3
