Id	sexo	ind	vista	Centroid Size	Log Centroid Size
f1	f	f1	l	12.768035124696926	2.546473283878493
f10	f	f10	l	11.828055008752413	2.470460237158095
f11	f	f11	l	17.200809286280467	2.8449421109700364
f12	f	f12	l	15.99101952473815	2.7719109075021113
f13	f	f13	l	18.223545562694788	2.9026553439023584
f14	f	f14	l	13.091446702047177	2.5716246541058294
f15	f	f15	l	12.199356776657066	2.5010942980238013
f16	f	f16	l	15.381952033116544	2.7331456494366817
f17	f	f17	l	14.780089618980846	2.6932780491711084
f18	f	f18	l	13.764005706415794	2.6218309156292605
f19	f	f19	l	14.301798304207352	2.6603506021786676
f2	f	f2	l	15.198793000537304	2.720811843080342
f20	f	f20	l	15.235681555509089	2.7233475751771694
f21	f	f21	l	13.923813927300012	2.6335788446432926
f22	f	f22	l	14.292383230447374	2.6593744566775346
f23	f	f23	l	14.988684775374097	2.707273835265465
f24	f	f24	l	16.641307946691533	2.811634404595254
f25	f	f25	l	15.993860396176402	2.7722045016658985
f26	f	f26	l	13.458096487267957	2.599403722503584
f27	f	f27	l	12.040972486998355	2.488166420794875
f28	f	f28	l	17.335210299481744	2.852731116653228
f29	f	f29	l	14.286697207516681	2.659326661396333
f3	f	f3	l	13.423472777525339	2.596700909547574
f30	f	f30	l	13.14764106263388	2.576053310093333
f31	f	f31	l	15.961125935592136	2.770010574547685
f32	f	f32	l	15.8931998917715	2.765869616819699
f33	f	f33	l	17.12919158100435	2.8407128526221745
f34	f	f34	l	15.301330214492097	2.727680388134001
f35	f	f35	l	15.651576965098911	2.7505633754995236
f36	f	f36	l	14.519523342399268	2.6752636054517476
f37	f	f37	l	15.154660163479825	2.718193962825653
f38	f	f38	l	16.024657749437658	2.774116699009247
f39	f	f39	l	14.688527301403155	2.687058264969753
f4	f	f4	l	17.702315221732768	2.8736774739007256
f40	f	f40	l	16.298486185349063	2.7907754674191807
f41	f	f41	l	15.610411623171405	2.7478275609787457
f42	f	f42	l	13.776494284282604	2.6228810608327553
f43	f	f43	l	15.287534113773692	2.727014388621188
f44	f	f44	l	16.164763529835145	2.7827630544077153
f45	f	f45	l	14.082777358721838	2.644948660464097
f5	f	f5	l	15.097732289742595	2.7145142379204676
f6	f	f6	l	15.243577693455515	2.724157451651184
f7	f	f7	l	12.821757550905987	2.5509868523643187
f8	f	f8	l	13.228995217176793	2.582385288822828
f9	f	f9	l	17.583457379127793	2.866948654523695
m1	m	m1	l	14.408408076534922	2.667768679688344
m10	m	m10	l	11.529391653722799	2.444695373616343
m11	m	m11	l	13.240926818008958	2.5831467179112755
m12	m	m12	l	12.838439977137549	2.5524402386182174
m13	m	m13	l	14.267125558505315	2.6579353998562483
m14	m	m14	l	11.275535638180145	2.422492358379193
m15	m	m15	l	11.685494512132287	2.458143492574433
m16	m	m16	l	14.15535483142794	2.6498924504615293
m17	m	m17	l	14.735347588371681	2.689938878145758
m18	m	m18	l	13.028676760368297	2.5671446803434916
m19	m	m19	l	13.458512857584678	2.5988896084835513
m2	m	m2	l	14.779027583018246	2.6931981117405117
m20	m	m20	l	14.490200194852212	2.6728236780694035
m21	m	m21	l	13.097186797988275	2.5721546938210738
m22	m	m22	l	11.393533445810846	2.433020997911698
m23	m	m23	l	13.059715837466792	2.5690004627756373
m24	m	m24	l	15.572029742319817	2.7448299430943104
m25	m	m25	l	11.903357782296993	2.4760390026042476
m26	m	m26	l	13.061289863573304	2.5694463533776113
m27	m	m27	l	12.836673076863068	2.552305666605288
m28	m	m28	l	13.297759596171552	2.586845700932201
m29	m	m29	l	16.11183773991913	2.7787819820578847
m3	m	m3	l	12.797516194458876	2.5492328207413415
m30	m	m30	l	14.67785459881368	2.685763826238847
m33	m	m33	l	13.026307182965121	2.566931613766281
m34	m	m34	l	14.032220328120896	2.641355954987984
m35	m	m35	l	15.099151951775124	2.714636820865622
m36	m	m36	l	14.652640353936823	2.6846000395780254
m37	m	m37	l	13.886009045804641	2.630823754222471
m38	m	m38	l	14.456732701971728	2.6711597215588183
m39	m	m39	l	14.109580595521384	2.646853839569321
m4	m	m4	l	12.938637568100429	2.5596190349328447
m40	m	m40	l	14.4315441831369	2.669338334386429
m41	m	m41	l	15.63863284739875	2.7492125044184528
m42	m	m42	l	13.86575919775166	2.6290513266388547
m43	m	m43	l	13.552431087503255	2.6065560502726903
m44	m	m44	l	14.122032940517336	2.647574801709185
m45	m	m45	l	14.024163805898777	2.6407075339824506
m5	m	m5	l	10.966842486365218	2.3945287128656907
m6	m	m6	l	12.785299414773291	2.5482782307616745
m7	m	m7	l	13.636544687949518	2.6126539219394695
m8	m	m8	l	13.26843161450897	2.5848489394608594
m9	m	m9	l	12.87538253283831	2.5553082236377076
